claim_id,product_category,product_age_months,warranty_period_months,receipt_available,serial_number_valid,damage_type,repair_history,purchase_price,claim_amount,days_since_purchase,claim_status
1,Washing Machine,21,24,1,1,Electrical Failure,2,1281,347.39,637,Valid
2,Washing Machine,39,12,0,0,Unknown,4,1675,1190.51,1165,Invalid
3,TV,4,12,1,1,Battery Failure,2,646,144.92,115,Valid
4,Refrigerator,8,12,1,1,Electrical Failure,2,1353,1189.54,233,Valid
5,Refrigerator,10,36,1,1,Unknown,2,892,487.32,301,Manual Review
6,Camera,50,24,0,1,Screen Damage,2,1640,972.72,1497,Manual Review
7,Headphones,54,36,0,1,Unknown,2,66,8.55,1614,Invalid
8,Tablet,3,12,1,1,Manufacturing Defect,0,105,44.82,99,Valid
9,Tablet,46,36,0,0,Physical Damage,4,397,340.72,1380,Invalid
10,Headphones,51,36,0,0,Water Damage,4,352,326.11,1521,Manual Review
11,Camera,31,36,1,1,Electrical Failure,0,982,322.97,921,Valid
12,Tablet,60,24,0,1,Manufacturing Defect,1,530,513.83,1809,Manual Review
13,Headphones,18,12,1,0,Battery Failure,1,120,111.74,545,Manual Review
14,TV,25,12,0,1,Physical Damage,2,636,124.59,742,Invalid
15,Smartphone,23,36,1,1,Battery Failure,2,485,373.14,695,Valid
16,Headphones,25,24,1,0,Physical Damage,2,147,23.77,760,Invalid
17,Refrigerator,21,24,1,1,Software Failure,2,1756,1495.04,623,Valid
18,Tablet,50,24,0,1,Water Damage,4,770,381.49,1491,Invalid
19,Smartphone,37,12,0,0,Unknown,1,848,333.39,1120,Invalid
20,TV,3,36,1,1,Battery Failure,1,920,779.37,81,Valid
21,Washing Machine,27,12,0,0,Unknown,4,1767,1105.67,814,Invalid
22,Camera,8,12,1,1,Battery Failure,0,2085,791.73,237,Valid
23,TV,60,36,1,1,Unknown,2,467,266.44,1792,Invalid
24,Camera,6,24,1,1,Battery Failure,0,1502,1118.94,181,Valid
25,Camera,56,24,1,1,Unknown,3,351,171.99,1685,Invalid
26,Camera,48,36,0,1,Water Damage,4,722,564.61,1431,Invalid
27,Washing Machine,27,36,0,1,Manufacturing Defect,1,383,38.46,810,Manual Review
28,Refrigerator,9,24,1,1,Electrical Failure,2,441,226.37,266,Valid
29,Tablet,34,24,1,0,Physical Damage,4,942,322.8,1030,Invalid
30,Tablet,14,12,0,0,Physical Damage,4,993,434.55,411,Invalid
